"
Code",Country,Plant Name,Latitude,Longitude,Plant Capacity (Mtpa),CO2 emitted per plant (without CCUS) (MtCO2/yr),CO2 captured per plant (with CCUS) (MtCO2/yr),CO2 emitted per plant (with CCUS) (MtCO2/yr),Average Cost of CCUS for steel prodution ($/tpa),Average production accounting for clean technology (billion $), Carbon Tax Value ($/t) , Share of Jurisdiction’s Greenhouse Gas Emissions Covered (%) for carbon tax , Carbon Tax per plant ($) , Emission Allowance ($/t) ,Percentage cap on emissions %, Emission Allowance per plant ($) , 45Q: Tax Credit for Storage ($/t) , 45Q: Tax Credit for Storage per Plant ($) , 45Q: Tax Credit for Enhanced Oil Recovery , 45Q: Tax Credit for Enhanced Oil Recovery per Plant ($) , Amount of H2 needed to produce 1 ton of iron and steel , Amount of H2 needed to produce iron and steel (Mtpa) , 45V: Clean H2 production (3$/kg) , 45V: Clean H2 production per plant  ,Revenue from Policy ($),
IS_C3#202,South Africa,ArcelorMittal Newcastle Steel Works (South Africa),-27.99,29.9333,1.9,2.5403,1.27015,1.27015,100,1.1305, 7.61 , 1.00 ," 19,331,683.00 ", -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,111,168,317.00 ", 874.83 
IS_C3#203,South Africa,ArcelorMittal Vanderbijlpark Steel Works (South Africa),-26.7,27.8,4.5,6.0165,3.00825,3.00825,100,2.6775, 7.61 , 1.00 ," 45,785,565.00 ", -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,631,714,435.00 ", 874.83 
IS_C3#1,China,"Shougang Qian’an Iron & Steel Co (Hebei, China)",39.9767,118.5588,8,10.696,5.348,5.348,100,4.5024, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 4,502,400,000.00 ", 841.88 
IS_C3#2,China,"Shougang Jingtang United Iron & Steel Co (Hebei, China)",38.9537,118.5034,9.7,12.9689,6.48445,6.48445,100,5.45916, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,459,160,000.00 ", 841.88 
IS_C3#3,China,"Xinxing Ductile Iron Pipes Co (Hebei, China)",38.5,114.5,2.5,3.3425,1.67125,1.67125,100,1.407, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,407,000,000.00 ", 841.88 
IS_C3#4,China,"Xinjiang Tianshan Iron and Steel Bazhou Co. (Xinjiang, China)",41.77,88.15,2,2.674,1.337,1.337,100,1.1256, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,125,600,000.00 ", 841.88 
IS_C3#5,China,"Taiyuan Iron & Steel Co (Shanxi, China)",37.87,112.55,12.94,17.30078,8.65039,8.65039,100,7.282632, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 7,282,632,000.00 ", 841.88 
IS_C3#6,China,"Rizhao Steelworks (Shandong, China)",35.43,119.45,13,17.381,8.6905,8.6905,100,7.3164, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 7,316,400,000.00 ", 841.88 
IS_C3#7,China,"Angang Group Xinyang Iron and Steel Co., Ltd. (Liaoning, China)",41.115,122,3.6,4.8132,2.4066,2.4066,100,2.02608, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,026,080,000.00 ", 841.88 
IS_C3#8,China,"Angang Steel Company Limited (Anshan, China)",41.115,123,18.7,25.0019,12.50095,12.50095,100,10.52436, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 10,524,360,000.00 ", 841.88 
IS_C3#9,China,"Angang Steel Company Limited Bayuquan Branch (Yingkou, China)",40.3085,122.1308,6.5,8.6905,4.34525,4.34525,100,3.6582, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,658,200,000.00 ", 841.88 
IS_C3#10,China,"Anhui Changjiang Steel Co., Ltd. (Ma'anshan, China)",31.7,118.5,4,5.348,2.674,2.674,100,2.2512, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,251,200,000.00 ", 841.88 
IS_C3#11,China,"Anshan Baode Iron & Steel Co., Ltd. (Anshan, China)",41.115,123,1.8,2.4066,1.2033,1.2033,100,1.01304, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,013,040,000.00 ", 841.88 
IS_C3#12,China,"Ansteel Group Chaoyang Steel & Iron Co. (Chaoyang, China)",41.5289,120.37,2,2.674,1.337,1.337,100,1.1256, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,125,600,000.00 ", 841.88 
IS_C3#13,China,"Anyang Iron & Steel Co. (Anyang, China)",36.1,114.35,10,13.37,6.685,6.685,100,5.628, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,628,000,000.00 ", 841.88 
IS_C3#14,China,"Baoshan Iron and Steel Co. (Shanghai, China)",31.2,121.5,20,26.74,13.37,13.37,100,11.256, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 11,256,000,000.00 ", 841.88 
IS_C3#15,China,"Baosteel Group Guangdong Shaoguan Iron and Steel Co. (Shaoguan, China)",24.8,113.6,6.6,8.8242,4.4121,4.4121,100,3.71448, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,714,480,000.00 ", 841.88 
IS_C3#16,China,"Baosteel Group Xinjiang Bayi Iron & Steel Co. (Urumqi, China)",43.8,87.6,5.9,7.8883,3.94415,3.94415,100,3.32052, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,320,520,000.00 ", 841.88 
IS_C3#17,China,"Baosteel Zhanjiang Iron & Steel Co. (Zhanjiang, China)",21.27,110.36,8.928,11.936736,5.968368,5.968368,100,5.0246784, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,024,678,400.00 ", 841.88 
IS_C3#18,China,"Baotou Steel (Group) Co. (Baotou, Inner Mongolia, China)",40.6574,109.8402,16.5,22.0605,11.03025,11.03025,100,9.2862, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 9,286,200,000.00 ", 841.88 
IS_C3#19,China,"Bengang Steel Plates Co. (Benxi, Liaoning, China)",41.295,123.761,10,13.37,6.685,6.685,100,5.628, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,628,000,000.00 ", 841.88 
IS_C3#20,China,"Benxi-Beiying Iron & Steel (Group) Co. (Benxi, Liaoning, China)",41.3,123.7667,9,12.033,6.0165,6.0165,100,5.0652, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,065,200,000.00 ", 841.88 
IS_C3#21,China,"Chengde Iron and Steel Group Co. (Chengde, Hebei, China)",41,117.9333,8,10.696,5.348,5.348,100,4.5024, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 4,502,400,000.00 ", 841.88 
IS_C3#22,China,"Chongqing Iron & Steel Co. (Chongqing, China)",29.5626,106.5516,8.3,11.0971,5.54855,5.54855,100,4.67124, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 4,671,240,000.00 ", 841.88 
IS_C3#23,China,"Fujian Sangang (Group) Co. (Fuzhou, Fujian, China)",26.0745,119.2965,12,16.044,8.022,8.022,100,6.7536, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 6,753,600,000.00 ", 841.88 
IS_C3#24,China,"Guangxi Iron and Steel Group Co. (Liuzhou, Guangxi, China)",24.3148,109.4226,10,13.37,6.685,6.685,100,5.628, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,628,000,000.00 ", 841.88 
IS_C3#25,China,"HBIS Laoting Steel Co. (Laoting, Hebei, China)",38.7167,117.7333,7.47,9.98739,4.993695,4.993695,100,4.204116, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 4,204,116,000.00 ", 841.88 
IS_C3#26,China,"Hebei Zongheng Group Fengnan Iron & Steel Co. (Tangshan, Hebei, China)",39.6167,118.1833,3.84,5.13408,2.56704,2.56704,100,2.161152, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,161,152,000.00 ", 841.88 
IS_C3#27,China,"Heilongjiang Jianlong Iron and Steel Co. (Harbin, Heilongjiang, China)",45.75,126.65,1.6,2.1392,1.0696,1.0696,100,0.90048, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 900,480,000.00 ", 841.88 
IS_C3#28,China,"Henan Jiyuan Iron & Steel (Group) Co. (Jiyuan, China)",35.0864,112.5538,5,6.685,3.3425,3.3425,100,2.814, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,814,000,000.00 ", 841.88 
IS_C3#29,China,"Hesteel Group Handan Iron and Steel Co. (Handan, China)",36.6,114.5,13,17.381,8.6905,8.6905,100,7.3164, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 7,316,400,000.00 ", 841.88 
IS_C3#30,China,"Hubei Xinxin Iron & Steel Group Co. (Xiangyang, China)",32,112.15,0.5,0.6685,0.33425,0.33425,100,0.2814, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 281,400,000.00 ", 841.88 
IS_C3#31,China,"Hubei Xinyegang Steel Co. (Xinyang, China)",32.1,114.0667,3.5,4.6795,2.33975,2.33975,100,1.9698, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,969,800,000.00 ", 841.88 
IS_C3#32,China,"Hunan Valin Lianyuan Iron and Steel Co. (Lianyuan, China)",27.7,111.5,9,12.033,6.0165,6.0165,100,5.0652, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 5,065,200,000.00 ", 841.88 
IS_C3#33,China,"Hunan Valin Xiangtan Iron and Steel Co. (Xiangtan, China)",27.8,112.9,12,16.044,8.022,8.022,100,6.7536, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 6,753,600,000.00 ", 841.88 
IS_C3#34,China,"Jiangsu Shagang Group Co. (Zhangjiagang, China)",31.87,120.5,27,36.099,18.0495,18.0495,100,15.1956, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 15,195,600,000.00 ", 841.88 
IS_C3#35,China,"Jiangsu Xugang Iron and Steel Group Co. (Xuzhou, China)",34.26,117.28,3.05,4.07785,2.038925,2.038925,100,1.71654, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,716,540,000.00 ", 841.88 
IS_C3#36,China,"Jiangsu Yonggang Group Co. (Changzhou, China)",31.81,119.97,8,10.696,5.348,5.348,100,4.5024, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 4,502,400,000.00 ", 841.88 
IS_C3#37,China,"Jianlong Xilin Iron and Steel Group Co. (Xilin, China)",29.7,111.5,5,6.685,3.3425,3.3425,100,2.814, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,814,000,000.00 ", 841.88 
IS_C3#38,China,"Jilin Jianlong Steel Group Co. (Jilin City, China)",44.0119,126.5371,3,4.011,2.0055,2.0055,100,1.6884, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 1,688,400,000.00 ", 841.88 
IS_C3#39,China,"Jingye Group Co. (Handan, China)",36.6,114.5,12,16.044,8.022,8.022,100,6.7536, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 6,753,600,000.00 ", 841.88 
IS_C3#40,China,"Jiugang Group Yuzhong Iron & Steel Co. (Lanzhou, China)",36.0336,104.0355,4,5.348,2.674,2.674,100,2.2512, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 2,251,200,000.00 ", 841.88 
IS_C3#41,China,"Jiuquan Steel (Group) Co. (Jiayuguan, China)",39.7736,98.2895,6.5,8.6905,4.34525,4.34525,100,3.6582, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,658,200,000.00 ", 841.88 
IS_C3#42,China,"Shandong Iron and Steel Co. (Jinan, China)",36.65,117,6.94,9.27878,4.63939,4.63939,100,3.905832, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,905,832,000.00 ", 841.88 
IS_C3#43,China,"Laiwu Iron & Steel Group Yinshan Section Steel Co. (Laiwu, China)",36.78,117.65,5.4,7.2198,3.6099,3.6099,100,3.03912, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,039,120,000.00 ", 841.88 
IS_C3#44,China,"Lingyuan Iron & Steel Group Co. (Lingyuan, China)",41.267,119.4,6,8.022,4.011,4.011,100,3.3768, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 3,376,800,000.00 ", 841.88 
IS_C3#45,China,"Liuzhou Iron & Steel Co. (Liuzhou, China)",24.3,109.25,14.8,19.7876,9.8938,9.8938,100,8.32944, -   , -   , -   , -   , -   , -   ,0, -   ,0, -   ,0,0,0,0," 8,329,440,000.00 ", 841.88 
